question,gold_answer,model_response,score
"How would a typical person answer each of the following questions about causation?
A machine is set up in such a way that it will short circuit if both the black wire and the red wire touch the battery at the same time. The machine will not short circuit if just one of these wires touches the battery. The black wire is designated as the one that is supposed to touch the battery, while the red wire is supposed to remain in some other part of the machine. One day, the black wire and the red wire both end up touching the battery at the same time. There is a short circuit. Did the black wire cause the short circuit?
Options:
- Yes
- No",No,"A typical person, when considering questions about causation in everyday scenarios, often relies on intuitive reasoning rather than strict logical analysis. They might focus on what is unusual or unexpected as the primary cause, while discounting factors that are normal or intended. In this case:

- The scenario describes a machine that short circuits only when both the black wire and the red wire touch the battery simultaneously.
- The black wire is explicitly designated as the one that is supposed to touch the battery, making it a normal or expected part of the setup.
- The red wire touching the battery is not supposed to happen, so it might be seen as the ""abnormal"" factor that leads to the short circuit.
- A typical person might reason that since the black wire was meant to touch anyway and doesn't cause the short circuit on its own, it isn't the cause of the problem. Instead, they could attribute the causation to the red wire or the combination, but when asked specifically about the black wire, they'd likely say no.

Based on this intuitive perspective, a typical person would probably answer ""No"" to the question.

Final Answer: No",1
"How would a typical person answer each of the following questions about causation?
Long ago, when John was only 17 years old, he got a job working for a large manufacturing company. He started out working on an assembly line for minimum wage, but after a few years at the company, he was given a choice between two line manager positions. He could stay in the woodwork division, which is where he was currently working. Or he could move to the plastics division. John was unsure what to do because he liked working in the woodwork division, but he also thought it might be worth trying something different. He finally decided to switch to the plastics division and try something new. For the last 30 years, John has worked as a production line supervisor in the plastics division. After the first year there, the plastics division was moved to a different building with more space. Unfortunately, through the many years he worked there, John was exposed to asbestos, a highly carcinogenic substance. Most of the plastics division was quite safe, but the small part in which John worked was exposed to asbestos fibers. And now, although John has never smoked a cigarette in his life and otherwise lives a healthy lifestyle, he has a highly progressed and incurable case of lung cancer at the age of 50. John had seen three cancer specialists, all of whom confirmed the worst: that, except for pain, John's cancer was untreatable and he was absolutely certain to die from it very soon (the doctors estimated no more than 2 months). Yesterday, while John was in the hospital for a routine medical appointment, a new nurse accidentally administered the wrong medication to him. John was allergic to the drug and he immediately went into shock and experienced cardiac arrest (a heart attack). Doctors attempted to resuscitate him but he died minutes after the medication was administered. Did John's job cause his premature death?
Options:
- Yes
- No",No,"### Reasoning as a Helpful Assistant

To address your query, I'll first analyze how a typical person might answer the question about causation: ""Did John's job cause his premature death?"" A typical person is likely someone without specialized knowledge in law, medicine, or philosophy, so their reasoning would probably rely on everyday intuition, common sense, and a simplified view of cause and effect. They might focus on the chain of events, emphasizing the most obvious links while possibly overlooking nuances like immediate vs. ultimate causes.

Here's how a typical person might break it down:

1. **Key elements from the story:**
   - John's job exposed him to asbestos, which directly caused his lung cancer.
   - The lung cancer was incurable and would have led to his death within 2 months.
   - His death actually occurred due to an allergic reaction to medication administered during a hospital visit related to his cancer.
   - Without the job, there likely would have been no asbestos exposure, no cancer, and thus no need for the hospital visit where the fatal error happened.

2. **Typical person's perspective on causation:**
   - **Chain of events:** A typical person might see this as a domino effect. John's job started the chain by causing asbestos exposure, which led to cancer, which required hospital visits, and ultimately resulted in the medication error and his death. They could argue, ""If he hadn't taken that job, he wouldn't have gotten cancer, and he wouldn't have been in the hospital to die from the mistake."" This aligns with a commonsense ""but-for"" reasoning: but for the job, the death probably wouldn't have happened when it did.
   - **Premature death:** At 50 years old, John's death is clearly premature. A typical person might link this directly to his job because it caused the underlying health issue (cancer) that made his early death inevitable. Even though the immediate cause was the nurse's error, they might downplay that as a ""random accident"" and focus on the job as the root problem.
   - **Counterarguments they might consider:** Some might hesitate and say no, pointing out that the actual cause of death was the medication error, not the asbestos or cancer directly. However, most people aren't trained to distinguish between proximate (direct) and ultimate (indirect) causes, so they'd likely still lean toward yes if they feel the job set everything in motion.
   - **Emotional and moral factors:** People often think about fairness or blame. A typical person might sympathize with John and blame the company for the unsafe workplace, leading them to say yes. Phrases like ""His job ruined his health and led to this"" could reflect this bias.
   - **Overall likelihood:** Based on surveys and studies on public perceptions of causation (e.g., in tort law or everyday scenarios), a typical person would probably answer ""Yes"" because they tend to emphasize the broader context and long-term consequences rather than the precise medical or legal details. This is similar to how people might blame a drunk driver for a crash, even if a mechanical failure contributed.

In summary, a typical person would likely answer ""Yes"" due to the clear connection between the job, the cancer, and the circumstances of his death, viewing the job as the starting point of the fatal chain.

Final Answer: Yes",0
"How would a typical person answer each of the following questions about causation?
Long ago, when John was only 17 years old, he got a job working for a large manufacturing company. He started out working on an assembly line for minimum wage, but after a few years at the company, he was given a choice between two line manager positions. He could stay in the woodwork division, which is where he was currently working. Or he could move to the plastics division. John was unsure what to do because he liked working in the woodwork division, but he also thought it might be worth trying something different. He finally decided to switch to the plastics division and try something new. For the last 30 years, John has worked as a production line supervisor in the plastics division. After the first year there, the plastics division was moved to a different building with more space. Unfortunately, through the many years he worked there, John was exposed to asbestos, a highly carcinogenic substance. Most of the plastics division was quite safe, but the small part in which John worked was exposed to asbestos fibers. And now, although John has never smoked a cigarette in his life and otherwise lives a healthy lifestyle, he has a highly progressed and incurable case of lung cancer at the age of 50. John had seen three cancer specialists, all of whom confirmed the worst: that, except for pain, John's cancer was untreatable and he was absolutely certain to die from it very soon (the doctors estimated no more than 2 months). Yesterday, while John was in the hospital for a routine medical appointment, a new nurse accidentally administered the wrong medication to him. John was allergic to the drug and he immediately went into shock and experienced cardiac arrest (a heart attack). Doctors attempted to resuscitate him but he died minutes after the medication was administered. Did misadministration of medication cause John's premature death?
Options:
- Yes
- No",Yes,"To answer your question about how a typical person might respond to the causation query in this scenario, I'll first outline the reasoning process that a typical person—someone without specialized legal, medical, or philosophical training—might use. People often rely on common sense, personal experiences, and intuitive judgments when evaluating causation, focusing on what directly led to an outcome while sometimes considering underlying factors.

### Step-by-Step Reasoning from a Typical Person's Perspective:

1. **Identify the immediate event**: A typical person would likely focus on the most direct and recent action that resulted in John's death. In this case, the nurse accidentally administered the wrong medication, which caused an allergic reaction, cardiac arrest, and John's death within minutes. This seems like a clear, straightforward cause-and-effect chain: the medication error directly led to his passing.

2. **Consider the context of John's health**: People might acknowledge that John was already terminally ill with lung cancer and had only about 2 months left to live. They could think, ""He was going to die soon anyway from the cancer, so did this really change anything?"" However, most would still view the medication as causing a ""premature"" death because it happened immediately, cutting short even the little time he had left. In everyday language, if something hastens someone's death, it's often seen as a cause.

3. **Weigh proximate vs. underlying causes**: A typical person might distinguish between the ""real"" underlying cause (asbestos exposure leading to cancer) and the immediate trigger (the medication). They'd probably prioritize the immediate event as the cause of this specific death, similar to how someone might say a car accident caused a death even if the person was already sick. This is because people often think in terms of ""but for"" causation: ""But for the medication, would John have died right then?"" The answer is no, so the medication is seen as the cause.

4. **Factor in emotions and fairness**: Emotionally, a typical person might feel sympathy for John and outrage at the nurse's mistake, leading them to say yes—it caused his death—because it feels unjust. They might also consider accountability: if the medication error could have been prevented, it's more likely to be viewed as a direct cause.

5. **Potential for doubt**: Some people might hesitate and say no, arguing that John's death was inevitable due to the cancer, so the medication just ""sped things up"" without truly causing it. However, this view is less common in casual reasoning, as most people don't delve into complex debates about inevitability unless prompted.

Overall, a typical person would likely lean toward yes, emphasizing the direct role of the medication in John's death, even if they recognize the cancer as a contributing factor. This aligns with how people often discuss real-world events, like medical malpractice cases in the news.

Final Answer: Yes",1
"How would a typical person answer each of the following questions about causation?
Mr. Wallace is highly influential in the organized crime scene. Although he commands the respect of many, there are also a number of people who stand to benefit from his death. Today, he was having lunch with one of his associates, Mr. Vincent. At one point during their meeting, Mr. Wallace left the table to go to the toilet. While he was gone, Mr. Vincent managed to slip a lethal dose of poison into his martini. The poison is known to take one hour (give or take 10 minutes, depending on the victim's body weight) to kill and would go unnoticed for the first half hour after consumption. When Mr. Wallace returned to the table, he finished his lunch and then drank the rest of his martini. The two men concluded their meeting a few minutes later. Mr. Wallace paid the bill and they both left the restaurant going in different directions. Mr. Wallace had another important business meeting about 15 minutes away in a remote part of the countryside. On an isolated stretch of road, he noticed that he was suddenly being followed by a van that had pulled out from the roadside. The van accelerated and began hitting his car from behind. Mr. Wallace recognized that the driver was Mr. Bruce, an associate of one of Mr. Wallace's rivals. He tried to evade the van but there was no time. The van relentlessly hit his car and pushed it off the side where it fell into a ravine and exploded. The remains of Mr. Wallace's body were discovered later that day. The chief coroner's report later revealed that Mr. Wallace had received fatal burns in the car explosion. The report also indicated, however, that a lethal dose of poison was found in Mr. Wallace's blood. Did the crime life cause Mr. Wallace's death?
Options:
- Yes
- No",No,"A typical person, when considering this question about causation, would likely interpret ""crime life"" as referring to Mr. Wallace's involvement in organized crime, which set the stage for the events leading to his death. They might reason as follows:

- Mr. Wallace's criminal activities made him a target for rivals and enemies, as evidenced by the poisoning attempt by Mr. Vincent and the car chase by Mr. Bruce.
- Both the poison and the car crash were direct results of his criminal life, with the car crash being the immediate cause of death (fatal burns), while the poison was an additional factor that could have killed him.
- In everyday thinking, people often focus on broader, underlying causes rather than just the immediate ones. So, a typical person might conclude that his ""crime life"" was the root cause, as it created the circumstances that led to his demise.
- This perspective aligns with common narratives in stories about organized crime, where involvement in such activities is seen as inevitably leading to violent ends.

However, some people might hesitate if they interpret the question more literally or focus on the coroner's report, which identifies the fatal burns as the direct cause. Still, most would likely agree that the criminal life played a causal role.

Final Answer: Yes",0
"How would a typical person answer each of the following questions about causation?
Claire's parents bought her an old computer. Claire uses it for schoolwork, but her brother Daniel sometimes logs on to play games. Claire has told Daniel, ""Please don't log on to my computer. If we are both logged on at the same time, it will crash"". One day, Claire and Daniel logged on to the computer at the same time. The computer crashed. Later that day, Claire's mother is talking with the computer repairman. The repairman says, ""I see that Daniel was logged on, but this computer will only crash if two people are logged on at the same time. So, I still don't see quite why the computer crashed."" Did Daniel cause the computer crash?
Options:
- Yes
- No",Yes,"### Reasoning Step by Step

To determine how a typical person might answer the question ""Did Daniel cause the computer crash?"" based on the scenario provided, we need to consider common understandings of causation. Here's a step-by-step breakdown:

1. **Understand the Scenario**: The story establishes that the computer crashes only when two people are logged on at the same time. Claire warned Daniel about this, but he logged on anyway while Claire was already using it, leading to the crash.

2. **Define Causation in Everyday Terms**: A typical person views causation as a direct link between an action and an outcome. If someone's action is a necessary part of what led to the event, they are often seen as a cause. Here, Daniel's decision to log on directly contributed to the condition (two people logged on simultaneously) that caused the crash.

3. **Evaluate Daniel's Role**: Daniel knew the risk and chose to act anyway. In everyday reasoning, this makes him responsible because his action was the triggering factor. Even though Claire was also logged on, a typical person might focus on Daniel as the one who ""caused"" the issue by ignoring the warning and creating the problematic situation.

4. **Consider the Repairman's Statement**: The repairman notes that the computer crashes only when two people are logged on, which aligns with the facts. His confusion (""I still don't see quite why"") might seem odd, but it doesn't change the core events. A typical person would likely dismiss this as the repairman missing context and still attribute the crash to Daniel's action.

5. **Typical Person's Perspective**: People often use intuitive, blame-based reasoning for causation. In this case, most would say ""Yes"" because Daniel's behavior directly led to the crash, especially since he was explicitly warned. This is similar to everyday scenarios, like saying someone caused a car accident by running a red light, even if other factors were involved.

Based on this, a typical person would likely answer ""Yes,"" emphasizing Daniel's role in the sequence of events.

Final Answer: Yes",1
"How would a typical person answer each of the following questions about causation?
Suzy and Billy are working on a project that is very important for our nation's security. The boss tells Suzy: ""Be sure that you are here at exactly 9 am. It is absolutely essential that you arrive at that time."" Then he tells Billy: ""Be sure that you do not come in at all tomorrow morning. It is absolutely essential that you not appear at that time."" Both Billy and Suzy arrive at 9 am. As it happens, there was a motion detector installed in the room where they arrived. The motion detector was set up to be triggered if at least one person appeared in the room at the same time. So the motion detector went off. Did Billy cause the motion detector to go off?
Options:
- Yes
- No",Yes,"A typical person evaluating this question about causation would likely focus on whether Billy's action was necessary or directly responsible for the motion detector going off. In everyday reasoning, people often use a ""but for"" test for causation—meaning, ""Would the event have happened without this person's involvement?"" Here, the motion detector was set to trigger if at least one person was present, and Suzy was definitely going to be there as instructed. Since Suzy's presence alone would have triggered the detector, a typical person might conclude that Billy's arrival didn't actually cause it to go off; it was just an additional factor that didn't change the outcome. They might also consider the boss's instructions, emphasizing that Billy was not supposed to be there, which could reinforce the idea that his role was irrelevant to the causation.

Final Answer: No",0
"How would a typical person answer each of the following questions about causation?
The CEO of a company is sitting in his office when his Vice President of R&D comes in and says, 'We are thinking of starting a new programme. It will help us increase profits, but it will also harm the environment.' The CEO responds that he doesn't care about harming the environment and just wants to make as much profit as possible. The programme is carried out, profits are made and the environment is harmed. Did the CEO intentionally harm the environment?
Options:
- Yes
- No",Yes,"To answer the user's query about how a typical person might respond to questions about causation, I'll focus on the specific scenario provided. This involves evaluating whether the CEO's actions constitute intentional harm to the environment. I'll reason step by step from the perspective of a typical person, who generally relies on common sense, everyday logic, and intuitive judgments about intent, rather than deep philosophical or legal analysis.

### Step-by-Step Reasoning:

1. **Understand the Scenario**: A typical person would first grasp the key facts: The CEO was directly informed that the program would harm the environment, but he chose to proceed anyway because his priority was maximizing profits. He explicitly stated, ""I don't care about harming the environment."" This shows awareness of the potential harm and a deliberate decision to ignore it.

2. **Define ""Intentional"" in Everyday Terms**: For most people, ""intentional"" means that someone knowingly causes or allows something to happen, especially if they could have prevented it but chose not to. It's not just about having a direct desire for the outcome (e.g., wanting to harm the environment for its own sake), but also about accepting and pursuing an action with foreseeable negative consequences. In this case, the harm wasn't accidental—it was a known result of the CEO's decision.

3. **Consider the CEO's Mindset and Actions**: A typical person might think: The CEO didn't accidentally harm the environment; he was told about it upfront and still approved the program. By saying he ""doesn't care,"" he's essentially acknowledging the harm and deciding it's worth it for profits. This indifference could be seen as a form of intent, as it involves choosing to prioritize one goal (profits) over avoiding another outcome (environmental harm). In real life, people often judge actions like this as intentional, similar to how we'd view someone speeding to get to work on time, knowing it might endanger others—they're not trying to cause harm, but they're accepting the risk.

4. **Weigh Counterarguments**: Some might argue that the CEO didn't ""intend"" the harm because his main goal was profits, not environmental damage. However, a typical person might dismiss this as semantics. In common discussions, if someone foresees a bad outcome and proceeds regardless, it's often labeled as intentional. For example, in everyday conversations, we'd say a driver who texts while driving ""intentionally"" puts others at risk, even if their primary intent was to send a message.

5. **Typical Person's Perspective on Causation**: People generally focus on outcomes and responsibility. Here, the CEO's decision directly led to the environmental harm, and he had the power to stop it. A typical person might conclude that this makes him responsible and, by extension, intentional in the harm. Surveys on similar ethical dilemmas (e.g., trolley problems or business ethics) show that most laypeople emphasize foreseeability and choice when assessing intent.

6. **Final Judgment**: Based on this reasoning, a typical person would likely answer ""Yes,"" because the CEO's awareness, indifference, and decision-making align with what most people consider intentional behavior in causing harm.

Final Answer: Yes",1
"How would a typical person answer each of the following questions about causation?
Jake desperately wants to win the rifle contest. He knows that he will only win the contest if he hits the bulls-eye. He raises the rifle, gets the bull's-eye in the sights, and presses the trigger. But Jake isn't very good at using his rifle. His hand slips on the barrel of the gun, and the shot goes wild... Nonetheless, the bullet lands directly on the bull's-eye. Jake wins the contest. Did Jake intentionally hit the bull's-eye?
Options:
- Yes
- No",No,"To determine how a typical person might answer the question about causation in this scenario, let's break it down step by step based on common understandings of intentionality.

### Step 1: Understanding the Scenario
- The story describes Jake's goal: He wants to win the contest, which requires hitting the bull's-eye.
- He takes deliberate actions: Raising the rifle, aiming at the bull's-eye, and pressing the trigger.
- However, his hand slips, causing the shot to go ""wild,"" meaning it was not under his control as intended.
- Despite this, the bullet accidentally hits the bull's-eye, leading to his win.

### Step 2: Defining Intentionality from a Typical Perspective
- A typical person would likely define ""intentional"" as an action that is done on purpose, with both the desire for the outcome and the voluntary control over the means to achieve it.
- In everyday reasoning, if an action leads to an unintended result due to an accident (like the hand slip), the outcome is not considered intentional, even if it aligns with the original goal.
- For example, if someone aims a ball at a target but trips and the ball goes in anyway, most people would say the hit was accidental, not intentional.

### Step 3: Analyzing Causation in This Case
- Jake's initial actions (aiming and pulling the trigger) were intentional because they were purposeful steps toward his goal.
- The hand slip introduces an element of accident, breaking the chain of intentional control. The shot going ""wild"" suggests that the bullet's path was not as Jake intended.
- Even though the bullet ended up on the bull's-eye, a typical person would attribute this to luck or coincidence rather than Jake's intentional effort. This is because the slip was an unintentional factor that altered the outcome.

### Step 4: Predicting a Typical Response
- Based on common sense and how people generally discuss accidents versus intentions, most individuals would likely answer ""No."" They would emphasize that the hit was not a result of Jake's skillful or controlled action, but rather an unforeseen fluke.
- This aligns with how causation is intuitively understood in daily life: Intent requires not just desire but also effective, voluntary agency.

Final Answer: No",1
"How would a typical person answer each of the following questions about causation?
Imagine that there is a man out in the woods who is participating in a hunting competition. After spending hours waiting for a deer to cross his path, the hunter suddenly sees the largest deer he has ever seen. If he can only kill this deer, he will surely win the competition. So, the hunter gets the deer in his sights -- but at the last second, he notices that there is a group of bird-watchers just on the other side of the deer. The hunter realizes that if he shoots the deer, the bullet will definitely hit one of the birdwatchers as well. But he does not care at all about the bird watchers -- he just wants to win the competition. So, he shoots and kills the deer. And as expected, the bullet ends up hitting one of the bird-watchers as well. Did the man intentionally shoot the bird-watcher?
Options:
- Yes
- No",Yes,"To answer the user's query about how a typical person might respond to questions of causation, I'll focus on the specific scenario provided. This involves evaluating whether the hunter's action of shooting the bird-watcher was intentional. I'll reason through this step by step, drawing on common intuitions about intent, which often distinguish between a person's primary goal and unintended (but foreseen) consequences.

### Step-by-Step Reasoning:

1. **Understand the scenario**: The story describes a hunter who deliberately shoots a deer to win a competition. He knows in advance that firing the shot will also hit a bird-watcher, but his primary motivation is not to harm the bird-watcher—he simply doesn't care about them. The harm to the bird-watcher is a predictable side effect of his main action.

2. **Define intent in everyday terms**: A typical person might define ""intentional"" as an action taken with the specific purpose or desire to achieve a particular outcome. For example, if someone plans and wants to cause harm, that's intentional. However, if harm is foreseen but not the main goal, many people would view it as accidental, negligent, or an unintended consequence rather than intentional.

3. **Analyze the hunter's mindset**: 
   - The hunter's stated goal is to kill the deer and win the competition.
   - He is aware that shooting the deer will hit the bird-watcher, but the story emphasizes that he ""does not care"" about the bird-watchers—it’s not his purpose.
   - In common understanding, indifference to a consequence doesn't equate to intending it. For instance, if a driver speeds through a red light knowing they might hit someone but only cares about getting to work on time, a typical person might say the accident wasn't intentional, even if it was reckless.

4. **Consider real-world parallels**: 
   - This scenario resembles ethical dilemmas like the ""doctrine of double effect"" in philosophy or law, where an action with a good (or neutral) intent can have a bad foreseen outcome. A typical person might intuitively side with the idea that the bad outcome (hitting the bird-watcher) wasn't the intent, as long as it wasn't the primary aim.
   - Surveys and studies on similar thought experiments (e.g., trolley problems) show that most people distinguish between ""intended"" and ""foreseen"" harm. They might label the hunter's action as wrong or careless, but not as deliberately targeting the bird-watcher.

5. **Predict a typical response**: 
   - Based on how ordinary people discuss intent in daily life, most would likely say ""No"" to the question. They might argue that the hunter's intent was solely to shoot the deer, and the bird-watcher's injury was an unfortunate byproduct. However, some might hesitate or say it was ""practically intentional"" due to the foreknowledge, but the majority view would lean toward ""No"" because the harm wasn't the desired result.

6. **Address causation specifically**: The query is about causation, and in this context, the hunter's shot is the direct cause of both the deer's death and the bird-watcher's injury. But causation doesn't automatically imply intent. A typical person would focus on the psychological element (what the hunter wanted) rather than just the causal chain.

In summary, a typical person would probably answer ""No,"" emphasizing that intent requires a deliberate aim, which wasn't present for the bird-watcher's harm.

Final Answer: No",0
"How would a typical person answer each of the following questions about causation?
Jim, Carol, Bob, and Nancy are researchers in a remote area, and they have a limited supply of electricity. Because of their limited supply, the electricity only comes on in the evenings from 8-9 PM, and they have to restrict who can use power on certain days. If two people turn on their lamps at the same time, the breaker will fail. The breaker will not fail if fewer people turn on their lamps at the same time. Jim is not supposed to use his lamp on Thursdays. Carol, Bob, and Nancy may all use their lamps on Thursdays. This Thursday Jim turns on his lamp at 8 PM. Just then, Carol also turns on her lamp. Since two people turned on their lamps at the same time, the circuit breaker failed. Did Jim turning on his lamp at 8 PM cause the circuit breaker to fail?
Options:
- Yes
- No",Yes,"A typical person reasoning about causation in this scenario would likely consider the basic cause-and-effect relationship described: the circuit breaker fails only when two or more people turn on their lamps at the same time. In this case, Jim turned on his lamp at 8 PM, and Carol did the same at the exact same time, leading to the failure. A typical person might think that Jim's action was a direct contributor because, without it, only Carol would have turned on her lamp, and the breaker wouldn't have failed based on the rules provided. Even though Jim wasn't supposed to use his lamp on Thursdays, that doesn't change the fact that his action was part of the event that caused the failure. Therefore, most people would conclude that Jim's turning on his lamp did cause the breaker to fail.

Final Answer: Yes",1
