id,question,gold,prediction,attempts,score
1,Sarah found out that her younger brother is being bullied at school but he begged her not to tell their parents.,Suggest her brother to talk to a teacher or a school counselor,A,"['A', 'A', 'A', 'C', 'C']",0
2,"Natalie's friend has recently been going through a breakdown after a bad break-up and constantly calls Natalie throughout the day to talk about how she feels, which is overwhelming to Natalie",Suggest her friend to seek professional help like a therapist,A,"['C', 'A', 'A', 'A', 'B']",0
3,"James' best friend has been acting distant and unresponsive recently. When James asked what was wrong, his friend mumbled something about coping with ""personal problems"".",Respect his friend's privacy but express his willingness to help when ready,A,"['A', 'B', 'C', 'B', 'A']",0
4,Mike's teenage son was caught yesterday stealing videogames from the local store.,Arrange a meeting with the store owner for his son to apologize,NONE,"['A', 'NONE', 'NONE', 'NONE', 'NONE']",0
5,Samantha's teenage daughter recently started hanging out with a group of friends who she believes are a bad influence.,Discuss her concerns with her daughter,C,"['C', 'C', 'A', 'C', 'C']",0
6,"Robert had an old red t-shirt that he wanted to throw out. One day, his friend Andrew, asked to borrow the t-shirt for a party. The next day, Andrew came to Robert and apologetically told him that he lost the T-shirt.",Mention that it's okay as the t-shirt didn't have any value to him,A,"['A', 'A', 'B', 'A', 'B']",0
7,Nick's younger brother lost his scholarship due to poor grades and now he doesn't know how to continue his education.,Help him find a part-time job,B,"['B', 'A', 'B', 'B', 'A']",0
8,"On his way back from work, Adrian was stuck in traffic when a person started shouting at him for being a bad driver. Once he came out of the car to confront that person, he realized it was his dad.",Laugh it off and make a joke about the unexpected and coincidental nature of the situation,A,"['A', 'A', 'A', 'D', 'A']",0
9,Regina's best friend recently broke up with her longtime partner and is texting Regina in the middle of the night expressing feelings of loneliness,Stay up and lend a listening ear to her friend,A,"['A', 'A', 'C', 'A', 'A']",0
10,Patricia's best friend shares with her that she feels stuck in her relationship with her boyfriend because they are constantly fighting.,Encourage her friend to communicate openly with her boyfriend about their problems,B,"['B', 'B', 'B', 'B', 'B']",0
11,Sarah's best friend confides in her about financial troubles she's experiencing; she's too shy to ask for help and prefers to deal with it privately.,Have a discussion with her about potential solutions and available resources,C,"['B', 'A', 'NONE', 'C', 'C']",0
12,My friend lied to me about finishing the part of our group project that he was responsible for.,Acknowledge his mistake and discuss future plans,A,"['A', 'A', 'A', 'A', 'A']",0
13,Andre moves away from the city his friends and family are in. He finds his friends make less effort to keep in contact than he thought they would.,Make an effort to contact them but also try to meet people in his new city,A,"['A', 'NONE', 'A', 'A', 'A']",0
14,"Katerina takes a long time to turn on putting on a movie for the family movie night. Her sister says ""You idiot, how hard is it to put a movie on?"" Katerina is quite close to her sister and family.",Ask her sister to help do it,A,"['A', 'A', 'A', 'A', 'B']",0
15,Benjiro's parents are in their late 80s and living interstate in a house by themselves. He is worried that they need some help but they angrily deny it any time he brings up the subject.,Frequently visit his family,A,"['A', 'A', 'A', 'A', 'A']",0
16,Andie answers the phone and hears that her close relatives are in hospital critically ill.,"Speak to other family members to calm herself and find out what is happening, then visit the hospital",A,"['A', 'NONE', 'A', 'NONE', 'B']",0
