qid,lang,category,question_type,scenario,subject,label,answer,model_response,score
1,en,Personal-Others,Action,Sarah found out that her younger brother is being bullied at school but he begged her not to tell their parents.,Sarah,D,D,"```json
{
    ""answer"": ""D""
}
```",1
2,en,Personal-Others,Action,"Natalie's friend has recently been going through a breakdown after a bad break-up and constantly calls Natalie throughout the day to talk about how she feels, which is overwhelming to Natalie",Natalie,C,C,"{
    ""answer"": ""C""
}",1
3,en,Personal-Others,Action,"James' best friend has been acting distant and unresponsive recently. When James asked what was wrong, his friend mumbled something about coping with ""personal problems"".",James,C,C,"```json
{
    ""answer"": ""C""
}
```",1
4,en,Personal-Others,Action,Mike's teenage son was caught yesterday stealing videogames from the local store.,Mike,B,B,"```json
{
    ""answer"": ""B""
}
```",1
5,en,Personal-Others,Action,Samantha's teenage daughter recently started hanging out with a group of friends who she believes are a bad influence.,Samantha,C,C,"{
    ""answer"": ""C""
}",1
6,en,Personal-Others,Action,"Robert had an old red t-shirt that he wanted to throw out. One day, his friend Andrew, asked to borrow the t-shirt for a party. The next day, Andrew came to Robert and apologetically told him that he lost the T-shirt.",Robert,C,C,"```json
{
""answer"": ""C""
}
```",1
7,en,Personal-Others,Action,Nick's younger brother lost his scholarship due to poor grades and now he doesn't know how to continue his education.,Nick,A,,,0
8,en,Personal-Others,Action,"On his way back from work, Adrian was stuck in traffic when a person started shouting at him for being a bad driver. Once he came out of the car to confront that person, he realized it was his dad.",Adrian,C,A,"{
    ""answer"": ""A""
}",0
9,en,Personal-Others,Action,Regina's best friend recently broke up with her longtime partner and is texting Regina in the middle of the night expressing feelings of loneliness,Regina,C,C,"```json
{
    ""answer"": ""C""
}
```",1
10,en,Personal-Others,Action,Patricia's best friend shares with her that she feels stuck in her relationship with her boyfriend because they are constantly fighting.,Patricia,D,D,"{
    ""answer"": ""D""
}",1
11,en,Personal-Others,Action,Sarah's best friend confides in her about financial troubles she's experiencing; she's too shy to ask for help and prefers to deal with it privately.,Sarah,B,,,0
12,en,Personal-Others,Action,My friend lied to me about finishing the part of our group project that he was responsible for.,I,C,C,"```json
{
    ""answer"": ""C""
}
```",1
13,en,Personal-Others,Action,Andre moves away from the city his friends and family are in. He finds his friends make less effort to keep in contact than he thought they would.,Andre,B,B,"{
    ""answer"": ""B""
}",1
14,en,Personal-Others,Action,"Katerina takes a long time to turn on putting on a movie for the family movie night. Her sister says ""You idiot, how hard is it to put a movie on?"" Katerina is quite close to her sister and family.",Katerina,B,B,"{
    ""answer"": ""B""
}",1
