qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
1,en,complex_emotions,emotion_transition,"Dorea was trying to cook a Baklava. When she took it out of the oven, the Baklava was ruined as the bread was not crispy, and the filling was bursting all over the pan. At that moment, her daughter came home and noticed her mom's fresh yet ruined Baklava. She tasted it and gave a thumbs-up to her mother.",Dorea,A,E,B,B,"```json
{
""answer_q1"": ""E"",
""answer_q2"": ""B""
}
```",0
2,en,complex_emotions,emotion_transition,"Simon, an amateur painter, had been working on a portrait of his deceased pet for over a week. After he finally completed it, he stepped back and immediately noticed that he had painted the wrong color for his pet's fur. Just then, his wife saw it and exclaimed, ""That's exactly how I remember him!""",Simon,A,C,B,C,"```json
{
""answer_q1"": ""C"",
""answer_q2"": ""C""
}
```",0
3,en,complex_emotions,emotion_transition,"After weeks of hard work and determination, Andy was finally able to open his art exhibition and display his portraits. While he invited all of the people at work, none of them showed up. As he was packing up to leave, his boss showed up, pointed to his painting, and praised his skills.",Andy,D,D,B,B,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""B""
}
```",1
4,en,complex_emotions,emotion_transition,"Albert and his dad made a deal. If Albert managed to graduate, being in the top 5 in the school, his dad would buy him a new laptop. If Albert lost, then he would not get anything. During the announcement, Albert fell short of the list and was ranked 6. The next day, they found out that one of the top 5 contestants had cheated and was disqualified.",Albert,D,D,C,C,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""C""
}
```",1
5,en,complex_emotions,emotion_transition,"Momo loved dancing and used it as an escape from her stressful life. Today, her client refused her work multiple times which resulted in her being reprimanded by her boss. Arriving at the dance studio, she put her bag down and screamed before starting to dance. After she finished dancing, Momo closed her eyes and nodded to herself in the mirror.",Momo,A,A,B,B,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}
```",1
6,en,complex_emotions,emotion_transition,"On his way to work, Andre was stuck in traffic when a person started shouting at him for being a bad driver. Once he came out of the car to confront that person, he realized it was his dad.",Andre,B,B,C,C,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""C""
}
```",1
7,en,complex_emotions,emotion_transition,"I was annoyed with my friend for not inviting me to his birthday party. Then, I realized he also talks badly about me behind my back to others.",I,A,A,B,B,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}
```",1
8,en,complex_emotions,emotion_transition,"Julius was excited to present his innovative idea to the team. During the meeting, his boss brutally criticized his lack of details and clarity. Julius analyzed his boss' comments and realized that this harsh feedback was what he needed to improve. He read over his notes and started refining his ideas.",Julius,A,A,C,C,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}
```",1
9,en,complex_emotions,emotion_transition,"Liam, a teenager often overlooked by his parents, found pride in keeping a flawless academic record. His parents told him they'd be skipping his awards ceremony for his younger brother's baseball game. With a crushing feeling in his heart, he climbed the stage alone. As he looked into the audience, he saw his parents sitting in the front row, smiling and clapping for him.",Liam,F,F,A,A,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""A""
}
```",1
10,en,complex_emotions,emotion_transition,"Joe's biggest hobby is taking pictures of birds. He had been trying to spot a rare type of bird, called the bluebird, for months. After numerous attempts, he finally spotted one sitting on a tree branch and was delighted. So, he sat down and prepared his camera to take the photo, but as he wanted to take the picture, the bird flew away. As Joe was staying there staring at the empty branch, the bird flew back.",Joe,A,A,C,C,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}
```",1
11,en,complex_emotions,emotion_transition,"Ella was up the entire night working on her painting for the art exhibition. She was full of doubt, questioning whether it was good enough or not for the public. As she finished and stepped away, her little brother walked into the room. He stood there, stared at the painting for a while, then he turned to Ella with wide eyes and a big smile on his face.",Ella,A,A,B,B,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}
```",1
12,en,complex_emotions,emotion_transition,"Mira had always been afraid of dogs. One day, while walking in her neighborhood, she saw an injured puppy on the sidewalk. She cautiously approached, quickly wrapped it in her scarf, and took it to the vet. A few weeks of visits later, Mira found herself getting attached to the creature.",Mira,B,B,C,C,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""C""
}
```",1
13,en,complex_emotions,emotion_transition,"Lena has been trying to study hard the entire week for her crucial medical exam, but has not found the chance because of her social life. So, with high anxiety, she decided to prepare hours away from the exam. In the middle of her study, she got a notification about the cancellation of the exam due to a virus outbreak in her college.",Lena,B,B,D,D,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""D""
}
```",1
14,en,complex_emotions,emotion_transition,"After waiting for almost two hours for his date, Roger was considering leaving when he heard a familiar voice behind him. It was his date, Jessica, who frantically apologized for being late and explained she had been helping a family stuck on the highway.",Roger,B,B,C,C,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""C""
}
```",1
15,en,complex_emotions,emotion_transition,"After waiting for almost two hours for his date, Roger was considering leaving when he heard a familiar voice behind him. It was his date, Jessica, who frantically apologized for being late and explained she had been helping a family stuck on the highway.",Jessica,A,A,C,C,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}
```",1
16,en,complex_emotions,mixture_of_emotions,"James and I are coworkers. We've been best friends for over a decade. Our boss gives out an employee of the year award every year. This year, we both applied as candidates for this reward and worked hard to get it. The results were announced yesterday. My friend won the award. When we found out, he smiled at first but didn't celebrate.",I,D,D,E,F,"```json
{
""answer_q1"": ""D"",
""answer_q2"": ""F""
}
```",0
17,en,complex_emotions,mixture_of_emotions,"James and I are coworkers. We've been best friends for over a decade. Our boss gives out an employee of the year award every year. This year, we both applied as candidates for this reward and worked hard to get it. The results were announced yesterday. My friend won the award. When we found out, he smiled at first but didn't celebrate.",James,A,A,F,F,"```json
{
""answer_q1"": ""A"",
""answer_q2"": ""F""
}
```",1
18,en,complex_emotions,mixture_of_emotions,"I had a math exam yesterday. The night before, I had studied all the material I could get my hands on and did many practice tests. But when it came to the actual exam, I had forgotten many of the things that I had reviewed. After the exam was over, I felt so bad I thought I would fail even though I studied really hard. The results came out today. I passed with a low mark, so I will ask the teacher if I can get a higher grade.",I,B,B,A,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",1
19,en,complex_emotions,mixture_of_emotions,"Charlene is a big fan of Taylor Swift. She has been saving up her allowance for a year to go to her concert. One day, as she was sitting in a cafe, she decided to try buying a Taylor Swift concert ticket. She knew there was a long waitlist of people wanting to go to the concert, but she still gave it a try. After around thirty minutes, she became one of the few to buy the tickets. She screamed the moment she received the email for her purchase confirmation. Immediately after, she realized what she had done and apologized to the other customers.",Charlene,F,F,F,F,"```json
{
""answer_q1"": ""F"",
""answer_q2"": ""F""
}
```",1
20,en,complex_emotions,mixture_of_emotions,"Naomi just graduated high school and is about to attend college abroad in three days. This is the first time she is separated from her family and has to live on her own. While packing, although she's grown up and doesn't play with toys anymore, Naomi brought a doll that her mother gave her as a child.",Naomi,F,F,A,A,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""A""
}
```",1
21,en,complex_emotions,mixture_of_emotions,"I applied to eight different universities to pursue my Bachelor's degree. Each decision letter came in differing dates. I waited until I received all the decision letters and opened them simultaneously. After opening the letters, I found that five of the universities, including my dream university, rejected me. Yet, one of the other three had offered to provide a full scholarship.",I,A,B,B,B,"```json
{
""answer_q1"": ""B"",
""answer_q2"": ""B""
}
```",0
22,en,complex_emotions,mixture_of_emotions,"I had a challenging physics exam today. Yet, I was well prepared. I answered most of the questions in the exam in a short amount of time and was sure of my answers. However, when I got to the last question, I could not figure out a solution and ended up spending the rest of the exam on it. The moment I came out of the exam hall and started discussing the questions with my friends, I suddenly came up with a solution for the question.",I,F,C,A,A,"```json
{
  ""answer_q1"": ""C"",
  ""answer_q2"": ""A""
}
```",0
