qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
151,zh,perspective_taking,faux_pas,艾瓦很兴奋地在奶奶的80大寿聚会上向她的家庭介绍自己的新男友扎克。她带扎克去见奶奶，扎克说：“哇，你看起来完全不像100岁！”,艾瓦,C,C,A,A,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""A""
}
```",1
152,zh,perspective_taking,faux_pas,艾瓦很兴奋地在奶奶的80大寿聚会上向她的家庭介绍自己的新男友扎克。她带扎克去见奶奶，扎克说：“哇，你看起来完全不像100岁！”,扎克,A,B,A,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",0
153,zh,perspective_taking,faux_pas,莎莎最近搬到了墨西哥工作，必须快速学会西班牙语。她上了一些课并感觉在新语言上做得还不错。在一个部门午餐会上，她试图夸赞同事的穿着，但由于记混了词，说成了“你看起来像只鸡”。,莎莎,E,B,A,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",0
154,zh,perspective_taking,faux_pas,莎莎最近搬到了墨西哥工作，必须快速学会西班牙语。她上了一些课并感觉在新语言上做得还不错。在一个部门午餐会上，她试图夸赞同事的穿着，但由于记混了词，说成了“你看起来像只鸡”。,莎莎的同事,A,B,A,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",0
155,zh,perspective_taking,faux_pas,奥利弗正在拜访他刚刚搬了新家的朋友托马斯。托马斯为自己现代化的家感到自豪，他带奥利弗参观了整个房子，最后介绍了他的新智能家居系统。奥利弗并不精通技术，他不禁表示这一切看起来都很复杂，并大声问道，为什么会有人需要这么多看起来几乎没有必要的功能。,奥利弗,D,D,A,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",1
156,zh,perspective_taking,faux_pas,奥利弗正在拜访他刚刚搬了新家的朋友托马斯。托马斯为自己现代化的家感到自豪，他带奥利弗参观了整个房子，最后介绍了他的新智能家居系统。奥利弗并不精通技术，他不禁表示这一切看起来都很复杂，并大声问道，为什么会有人需要这么多看起来几乎没有必要的功能。,托马斯,D,D,A,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",1
157,zh,perspective_taking,faux_pas,琳达是一位服装爱好者，她邀请朋友梅丽莎参加一场时装秀，作为她们可以一起参与的新的有趣活动。不过，压轴的设计师其实是琳达很欣赏的一位年轻女性，她很想看看她的时装系列。最后一位模特走完T台后，梅丽莎转过身对琳达说，这是她最近睡得最香的一次。,琳达,B,B,A,A,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}
```",1
158,zh,perspective_taking,faux_pas,琳达是一位服装爱好者，她邀请朋友梅丽莎参加一场时装秀，作为她们可以一起参与的新的有趣活动。不过，压轴的设计师其实是琳达很欣赏的一位年轻女性，她很想看看她的时装系列。最后一位模特走完T台后，梅丽莎转过身对琳达说，这是她最近睡得最香的一次。,梅丽莎,F,D,C,A,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""A""
}
```",0
159,zh,perspective_taking,strange_story,我有一个老师，他以为F是“Full”，所以给F作为最高分。经过昨天困难的考试后，我拿到了我的试卷，看到他给了我一个F。,我,B,F,A,C,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""C""
}
```",0
160,zh,perspective_taking,strange_story,相比根据论文的优点给分，我的教授更喜欢用错误次数作为作业成绩。上周我们提交了期末项目作业，我不确定我做得好不好。今天，我终于得到了作业明细，看到上面写着1/10。,我,C,D,A,C,"```json
{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""C""
}
```",0
161,zh,perspective_taking,strange_story,贝贝是一个旅行家，她在网上寻找镇上有趣的餐厅。她找到了一家以粗鲁的顾客服务而出名的餐厅，很多人都排队去吃。于是贝贝决定去这里吃晚饭。服务员迎接她并说了一些不文雅的话。,贝贝,F,B,A,D,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""D""
}
```",0
162,zh,perspective_taking,strange_story,在一个传统节日很重要的小镇上，当地人举办了一个吃派大赛。然而，比赛中的派总是过于甜腻，多数参与者都不太喜欢。即便如此，布莱恩还是参加了比赛。在他咬下第一口的时候，他的脸皱起来了。但他还是很快换上了微笑并感谢了厨师。,布莱恩,B,A,A,A,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""A""
}
```",0
163,zh,perspective_taking,strange_story,提米在所有科目上的成绩一直都低于预期或者不及格，他好像也不抱什么希望了。他在公布成绩的地理考试中又没有及格。他茫然的盯着自己的试卷，然后把它放进包里和朋友去食堂了。,提米,A,E,A,A,"```json
{
    ""answer_q1"": ""E"",
    ""answer_q2"": ""A""
}
```",0
164,zh,perspective_taking,strange_story,阿文请求珍珍假装他的女朋友，但没有真的感情，来让他的前女友嫉妒。珍珍同意了。有一天，珍珍在食堂看到阿文在和一个他的地理项目组的女生聊天。,珍珍,F,C,A,A,"```json
{
    ""answer_q1"": ""C"",
    ""answer_q2"": ""A""
}
```",0
165,zh,perspective_taking,strange_story,尼克考数学的时候被老师抓到作弊，导致他拿了0分。他在第二天还有另一场考试，但他根本没复习，所以考试时他又作弊了。,尼克,A,E,A,D,"```json
{
    ""answer_q1"": ""E"",
    ""answer_q2"": ""D""
}
```",0
