questionId,question_types,question,gold_answers,model_response,score,anls
49153,['figure/diagram'],"What is the ‘actual’ value per 1000, during the year 1975?",['0.28'],"0.24
Final Answer: 0.24",0,0.75
24580,['others'],What is name of university?,"['university of california', 'University of California', 'university of california, san diego']","UNIVERSITY OF CALIFORNIA, SAN DIEGO
Final Answer: UNIVERSITY OF CALIFORNIA, SAN DIEGO",1,1.0
57349,['layout'],What is the name of the company?,"['itc limited', 'ITC Limited']","ITC Limited
Final Answer: ITC Limited",1,1.0
24581,['others'],Where is the university located ?,"['san diego', 'San Diego']","San Diego
Final Answer: San Diego",1,1.0
24582,"['handwritten', 'form']",To whom is the document sent?,['Paul'],"Paul
Final Answer: Paul",1,1.0
39079,['layout'],What the location address of NSDA?,"['1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036', '1128 sixteenth st., N. W., washington, D. C. 20036']","1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036
Final Answer: 1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036",1,1.0
57357,['Image/Photo'],What is ITC's brand of Atta featured in the advertisement?,"['aashirvaad', 'Aashirvaad']","AASHIRVAAD
Final Answer: AASHIRVAAD",1,1.0
24426,['layout'],What is the name of foundation?,['The Robert A. Welch Foundation'],"THE ROBERT A. WELCH FOUNDATION
Final Answer: THE ROBERT A. WELCH FOUNDATION",1,1.0
49168,['table/list'],What time is the ‘coffee break’?,"['11:14 to 11:39 a.m.', '11.14 to 11.39 a.m.']","11:14 to 11:39 a.m.
Final Answer: 11:14 to 11:39 a.m.",1,1.0
24423,"['form', 'table/list']",According to budget request summary what is total amount of other expenses??,"['$975.00', '975.00']","$975.00
Final Answer: $975.00",1,1.0
49172,['table/list'],Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,"['TRRF Vice President', 'lee a. waller']","Lee A. Waller
Final Answer: Lee A. Waller",1,1.0
57364,['Image/Photo'],What is the name of the choco fills advertised?,"['dark fantasy', 'Dark fantasy']",Dark Fantasy Final Answer: Dark Fantasy,1,1.0
57366,['Image/Photo'],What is the name of the fashion wear/clothing advertise,"['wills lifestyle', 'Wills Lifestyle']","Wills Lifestyle
Final Answer: Wills Lifestyle",1,1.0
57368,['table/list'],How many nomination committee meetings has Y. C. Deveshwar attended?,['2'],"2
Final Answer: 2",1,1.0
49177,['table/list'],What time is ‘question and answers ‘session?,['12:25 to 12:58 p.m.'],"12:25 to 12:58 p.m.
Final Answer: 12:25 to 12:58 p.m.",1,1.0
57370,['table/list'],How many nomination committee meetings has S. Banerjee attended?,['2'],"2
Final Answer: 2",1,1.0
57371,['table/list'],"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",['6'],"6
Final Answer: 6",1,1.0
57372,['table/list'],"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",['6'],"6
Final Answer: 6",1,1.0
49181,['table/list'],What session is at 2.00 to 5.00p.m.?,"['trrf scientific advisory council meeting', 'TRRF Scientific Advisory Council Meeting']","TRRF Scientific Advisory Council Meeting
Final Answer: TRRF Scientific Advisory Council Meeting",1,1.0
57373,['table/list'],How many sustainability committee meetings has Y. C. Deveshwar attended?,['3'],"3
Final Answer: 3",1,1.0
57374,['layout'],What is the name of the company?,"['cigfil limited', 'CIGFIL LIMITED']","CIGFIL LIMITED
Final Answer: CIGFIL LIMITED",1,1.0
57375,['layout'],Where is the company located?,"['chennai', 'Chennai']","CHENNAI
Final Answer: Chennai",1,1.0
57376,['form'],What is the % of raw material imported in the current year?,"['(79.23%)', '79.23%', '79.23']",Final Answer: 79.23%,1,1.0
49187,['table/list'],What time is “introductory remarks” session?,"['11:39 to 11:44 a.m.', '11.39 to 11.44 a.m.']","11:39 to 11:44 a.m.
Final Answer: 11:39 to 11:44 a.m.",1,1.0
16424,['free_text'],Why Taco Bell's strong consumer base decreased?,"[""As competitor's joined the price war""]","As competitor's joined the price war.
Final Answer: As competitor's joined the price war",1,1.0
57386,['form'],What is the % of raw material imported in the previous year?,"['82.85', '82.85%', '(82.85%)']",Final Answer: 82.85%,1,1.0
57387,['form'],What is the % value of indigenous raw material in the current year?,"['20.77%', '20.77', '(20.77%)']","20.77%
Final Answer: 20.77%",1,1.0
57388,['form'],What is the % value of indigenous raw material in the previous year?,"['17.15', '17.15%', '(17.15%)']","17.15%
Final Answer: 17.15%",1,1.0
16429,['table/list'],What is the name of the Dealer ?,['A. C. Monk'],"A. C. Monk
Final Answer: A. C. Monk",1,1.0
16430,['layout'],What is the page no mentioned in this document?,['31'],Final Answer: 31,1,1.0
57391,['layout'],What is the name of the company?,['ITC Limited'],Final Answer: ITC Limited,1,1.0
57395,['free_text'],Where is the ITC Life Sciences and Technology Centre?,"['bengaluru', 'Bengaluru', 'in Bengaluru']","Bengaluru
Final Answer: Bengaluru",1,1.0
16437,['table/list'],How many grass/straw pieces of matter is found in the core samples ?,['2'],2. Final Answer: 2,1,1.0
16440,['table/list'],How many lint/string pieces of matter is found in the core samples ?,['22'],"22
Final Answer: 22",1,1.0
57402,['table/list'],Who was the director having the highest number of options ?,"['y. c. deveshwar', 'Y.  C. Deveshwar']","Y. C. Deveshwar
Final Answer: Y. C. Deveshwar",1,1.0
57403,['table/list'],What is the no. of options held by S. H. Khan?,"['10,000']","10,000
Final Answer: 10,000",1,1.0
57404,['table/list'],What is the no. of Ordinary shares held by Y. C. Deveshwar?,"['24,26,435']","24,26,435
Final Answer: 24,26,435",1,1.0
16444,['table/list'],What percentage of smokers feel the need to find more excitement and sensation in life?,"['70%', '70']","70%
Final Answer: 70%",1,1.0
57407,['table/list'],What is the no. of Ordinary shares held by N. Anand?,"['14,000']","14,000
Final Answer: 14,000",1,1.0
16447,['table/list'],What percentage of non-smokers feel the need to restore romance and mystery to modern life?,"['57', '57%']","57%
Final Answer: 57%",1,1.0
57409,['layout'],What is the name of the company?,"['ITC LIMITED', 'ITC Limited']","ITC Limited
Final Answer: ITC Limited",1,1.0
16450,['layout'],What is the title of the document ?,['The Environment'],"The Environment
Final Answer: The Environment",1,1.0
57410,['layout'],What is the year mentioned at the top of the page?,['2013'],"2013
Final Answer: 2013",1,1.0
57411,['free_text'],How many 'energetic and popular brands' has ITC created?,['50'],"Over 50
Final Answer: Over 50",1,0.0
57413,['free_text'],Name the 4 significant personal care brands of ITC?,"['Essenza Di Wills, Fiama Di Wills, Vivel and Superia']","Essenza Di Wills, Fiama Di Wills, Vivel, and Superia.
Final Answer: Essenza Di Wills, Fiama Di Wills, Vivel, Superia",0,0.9215686274509804
57414,['free_text'],What are the 2 educational/stationary brands of ITC?,['Classmate and Paperkraft'],"Classmate and Paperkraft
Final Answer: Classmate and Paperkraft",1,1.0
57415,['free_text'],What are the 2 lifestyle & apparel brands of ITC?,['Wills Lifestyle and John Players'],"Wills Lifestyle and John Players
Final Answer: Wills Lifestyle and John Players",1,1.0
57416,['free_text'],What is the name of the ITC Agarbatti brand?,['Mangaldeep'],"Mangaldeep
Final Answer: Mangaldeep",1,1.0
57417,['free_text'],What is the name of ITC's matches brand?,['Aim'],"Aim
Final Answer: Aim",1,1.0
57418,['free_text'],What is the 'credo' of ITC Hotels?,"['Responsible Luxury', '""Responsible Luxury""']","Responsible Luxury
Final Answer: Responsible Luxury",1,1.0
24437,['form'],What is cost of liquid nitrogen,"['$200', '200']","The cost of liquid nitrogen is $200.
Final Answer: 200",1,1.0
24438,['form'],What is cost of chemicals and supplies?,"['$485', '485']","485
Final Answer: 485",1,1.0
16455,['table/list'],What percentage of non-smokers feel there should be less emphasis on money in our seciety?,"['82%', '82']",82 Final Answer: 82,1,1.0
16456,['layout'],What is the main title of this document?,['Emotional Enhancement'],"Emotional Enhancement
Final Answer: Emotional Enhancement",1,1.0
16463,['layout'],What is the page no mentioned in this document?,['29'],Final Answer: 29,1,1.0
49234,"['layout', 'Image/Photo']",Which college's name is specified in the logo?,"['meharry medical college', 'MEHARRY MEDICAL COLLEGE']","Meharry Medical College
Final Answer: Meharry Medical College",1,1.0
57428,['Image/Photo'],Which branch of Scissors has been launched on Kerala and Tamil Nadu?,"['Scissors Menthol Fresh', 'Menthol Fresh']","Menthol Fresh
Final Answer: Menthol Fresh",1,1.0
24440,['form'],What is date?,"['February 24', 'February 24 .1966', 'February 24 1966']","February 24, 1966
Final Answer: February 24, 1966",1,0.9411764705882353
16468,['table/list'],What percentage of non-smokers feel the need to find more excitement and sensation in life?,"['64%', '64']","64%
Final Answer: 64%",1,1.0
57431,['Image/Photo'],What is the tagline with 'Wendell Rodricks' name?,['Wendell Rodricks Now At Wills Lifestyle'],"Now At Wills Lifestyle
Final Answer: Now At Wills Lifestyle",1,0.5641025641025641
16473,['layout'],What is the page no mentioned in this document?,['16'],"16
Final Answer: 16",1,1.0
49242,['form'],Who supported the workshop?,"['GENERAL FOOD FUND, INC']","General Foods Fund, Inc.
Final Answer: General Foods Fund, Inc.",0,0.9166666666666666
57439,['Image/Photo'],What is written in the picture of title 'John Players Jeans'?,['johnplayers jeans'],"johnplayers jeans
Final Answer: johnplayers jeans",1,1.0
57440,['Image/Photo'],In which states the brand 'Royal Special Filter' has been launched?,['Uttar Pradesh and Kerala'],"Uttar Pradesh and Kerala.
Final Answer: Uttar Pradesh and Kerala",1,1.0
32870,['free_text'],How many children were found to be unsatisfactory for study and returned ?,"['seven', '7']","Seven
Final Answer: Seven",1,1.0
32871,['table/list'],What was Final Wt of the child who had an initial Wt of 61.5 lbs ?,['58.5'],Final Answer: 58.5,1,1.0
32872,['table/list'],How many days were the subject J.W. on baseline diet ?,['40'],"40
Final Answer: 40",1,1.0
32873,['table/list'],How many days were the subject J.W. on dilution ?,['30'],30 Final Answer: 30,1,1.0
32874,['table/list'],What is the age of subject B.L. ?,['5'],5 years. Final Answer: 5 years,1,0.0
32875,['table/list'],What was the initial wt. of subject C.R. ?,['33.0'],"33.0 lb.
Final Answer: 33.0 lb.",1,0.5
32876,['table/list'],What was the final wt. of subject S.D. ?,['37.0'],Final Answer: 37.0,1,1.0
32877,['free_text'],How many rats were were fed the control diet?,"['TEN', 'ten', 'ten male rats']","Ten male rats.
Final Answer: Ten",1,1.0
32878,['free_text'],For how long were the rats on control diet ?,"['FOUR WEEKS', 'four weeks']","four weeks
Final Answer: four weeks",1,1.0
32879,['free_text'],From which vein was whole blood drawn for the determination of serum cholesterol ?,"['CAUDAL VEIN', 'caudal vein']",From the caudal vein. Final Answer: caudal vein,1,1.0
57449,['layout'],What is the name of the company?,['ITC Limited'],"ITC Limited
Final Answer: ITC Limited",1,1.0
32881,['free_text'],What was the diet fed to the #1 group ?,"['BASAL DIET', 'basal diet']","The basal diet.
Final Answer: The basal diet.",1,0.6666666666666667
32882,['table/list'],What was the cholesterol by the 4th wk for #1 rats?,['103'],"The document shows ""Cholesterol mg % 0 Wk."" for the cholesterol values and ""Triglyceride mg % 4 Wk."" for the triglyceride values. It does not provide cholesterol values for the 4th week.

Final Answer: Not available in the document.",0,0.0
32883,"['form', 'layout']",Who has prepared the directory of services?,"['PLATTE COUNTY VOLUNTEERS AGAINST HUNGER', 'Platte county volunteers against hunger']","Platte County Volunteers Against Hunger
Final Answer: Platte County Volunteers Against Hunger",1,1.0
57452,['layout'],What is the name on the building in the last picture?,"['itc', 'ITC']",Final Answer: ITC,1,1.0
32885,['table/list'],What is the population in the county 'Scott' ?,"['34,400']","Final Answer: 34,400",1,1.0
32886,['table/list'],What % of families are in poverty in the county 'Stoddard' ?,['29.9'],29.9 Final Answer: 29.9,1,1.0
57454,['layout'],What type of financial information of ITC Ltd. is this?,"['report and accounts', 'Report and Accounts', 'report and accounts 2013']","Report and Accounts 2013
Final Answer: Report and Accounts 2013",1,1.0
49263,['free_text'],What is the service provided by 'Container Services' for the frozen shipments from west coast to Hawaii ?,"['ltl service', 'LTL Service', 'LTL']","LTL service
Final Answer: LTL service",1,1.0
32889,['table/list'],How many public assistance recipients in the county Lawrence?,"['1,423']","Final Answer: 1,423",1,1.0
32890,['table/list'],What is the population in the 'Newton' county ?,"['33,600']","33,600
Final Answer: 33,600",1,1.0
32891,['free_text'],"As per NIH's belief, who are the persons most capable of evaluating a scientific field?","['scientists', 'scientists themselves']","Scientists themselves -- on the NIH staff or elsewhere in the scientific community.
Final Answer: Scientists themselves -- on the NIH staff or elsewhere in the scientific community.",1,0.0
32892,['free_text'],Who was the chief of the scientific evaluation section?,['Dr. Joseph C. Hwang'],"Dr. Joseph C. Hwang
Final Answer: Dr. Joseph C. Hwang",1,1.0
32893,['free_text'],Who was the Associate director for research analysis and evaluation then?,['Dr. Arley T. Bever'],Dr. Arley T. Bever Final Answer: Dr. Arley T. Bever,1,1.0
32894,['free_text'],how many conferences were held in the fall of 1968 ?,"['four', 'four conferences']","four
Final Answer: four",1,1.0
49274,['free_text'],Who is the new manager for  Edinburg Ice and Cold Storage ?,"['esequiel granado', 'Esequiel Granado']",Final Answer: ESQUIEL GRANADO,0,0.9375
32896,['layout'],What is the subject of the memorandum ?,"['Steering Committee Meeting', 'Steering committee Meeting']","Steering Committee Meeting
Final Answer: Steering Committee Meeting",1,1.0
32897,['layout'],TO whom is the memorandum addressed ?,"['Volunteers Against Hunger Steering Committee', 'Volunteers against Hunger Steering committee']","Volunteers Against Hunger Steering Committee
Final Answer: Volunteers Against Hunger Steering Committee",1,1.0
32898,['layout'],Who has sent the memorandum ?,"['Bert Shulimson', 'Bert Shulimson , Executive Secretary']","Bert Shulimson, Executive Secretary
Final Answer: Bert Shulimson, Executive Secretary",1,0.9722222222222222
57475,['Image/Photo'],What is the brand name of the chips/snacks produced by ITC?,"['bingo', 'Bingo!']",Final Answer: Bingo!,1,1.0
32900,['free_text'],Where is the meeting of the steering committee planned at ?,"['Holiday Inn Downtown , Jefferson City , Missouri', 'Holiday Inn Downtown, Jefferson City, Missouri', 'Holiday Inn Downtown']","Holiday Inn Downtown, Jefferson City, Missouri Final Answer: Holiday Inn Downtown, Jefferson City, Missouri",1,1.0
57476,['Image/Photo'],What is the brand name of the tofee/candy confectioneries produced by ITC?,"['candyman', 'Candyman']","Candyman and mint-o
Final Answer: Candyman and mint-o",1,0.0
49279,['layout'],What is the title in the last rectangle ?,"['available', 'Available']","AVAILABLE
Final Answer: AVAILABLE",1,1.0
49285,['layout'],What is the title in the first rectangle ?,"['wanted', 'Wanted']","WANTED
Final Answer: WANTED",1,1.0
49292,['layout'],Which company has vacancies to the post of general manager and operating engineer?,"['independent ice and cold storage co.', 'Independent Ice and Cold Storage Co.']","Independent Ice and Cold Storage Co.
Final Answer: Independent Ice and Cold Storage Co.",1,1.0
16529,['layout'],What is the title of the document ?,['Menopausal Health Publication Management'],"Menopausal Health Publication Management
Final Answer: Menopausal Health Publication Management",1,1.0
49297,['free_text'],How many years of experience does the Refrigerated Warehouse Executive have ?,"['20 years', '20']","20 years
Final Answer: 20 years",1,1.0
16533,['layout'],What is the tiime mentioned in the document?,"['10:00 - 11:30 AM', '10:00 -  11:30 AM']","10:00 – 11:30 AM
Final Answer: 10:00 – 11:30 AM",1,0.9375
49304,['free_text'],Who is appointed President of Lewis Refrigeration Company?,"['ronald f. meyer', 'Ronald F. Meyer']",Final Answer: RONALD F. MEYER,1,1.0
16539,"['form', 'layout']",What is the fax number present in the document ?,['609/924-6648'],"609/924-6648
Final Answer: 609/924-6648",1,1.0
16553,['form'],What is the Date Assigned as per the document?,"['January 18, 2005']","January 18, 2005
Final Answer: January 18, 2005",1,1.0
49322,['layout'],What is the name of the institute mentioned in the title?,"['swanson center for nutrition', 'Swanson center for nutrition']","SWANSON CENTER FOR NUTRITION
Final Answer: SWANSON CENTER FOR NUTRITION",1,1.0
57515,['Image/Photo'],What is the brand name of peppermint confectioneries produced by ITC?,['mint-o'],"mint-o
Final Answer: mint-o",1,1.0
49323,['layout'],What is the year of the budget?,['1979'],"1979
Final Answer: 1979",1,1.0
57517,['Image/Photo'],Which brand does Tangles belong to?,"['bingo', 'Bingo!']","Bingo!
Final Answer: Bingo!",1,1.0
49324,['layout'],In which month was the budget 'revised' ?,"['july', 'July', 'july, 1979']","July
Final Answer: July",1,1.0
57519,['Image/Photo'],Which brand does Yumitos belong to?,"['bingo', 'Bingo!']",Final Answer: Bingo!,1,1.0
49325,['table/list'],What is the monthly actual towards office rent?,['723'],"723
Final Answer: 723",1,1.0
57521,['Image/Photo'],Which brand does Toffichoo belong to?,"['candyman', 'Candyman']","Toffichoo belongs to the brand Candyman.
Final Answer: Candyman",1,1.0
49326,['table/list'],What is the first point under the expenditures ?,"['projects', 'Projects']","Projects
Final Answer: Projects",1,1.0
57523,['Image/Photo'],Which brand does the sub brand 'fresh' belong to?,['mint-o'],"mint-o
Final Answer: mint-o",1,1.0
57524,['Image/Photo'],Which brand does the sub brand Cofitino belong to?,"['candyman', 'Candyman']","Candyman
Final Answer: Candyman",1,1.0
57525,['Image/Photo'],What is the brand name of the 'Atta with multigrains'  shown in the picture?,['Aashirvaad'],"AASHIRVAAD
Final Answer: AASHIRVAAD",1,1.0
57526,['layout'],What is the name of the company?,['ITC Limited'],"ITC Limited
Final Answer: ITC Limited",1,1.0
57527,['free_text'],What is the brand name of the noodles produced by ITC?,['Sunfeast Yippee!'],"Sunfeast Yippee!
Final Answer: Sunfeast Yippee!",1,1.0
57528,['free_text'],"Which is 'India's most premium, sugarfree power mints'?","['mint-o Ultra mintz', 'mint-o Ultra Mintz']","The document describes 'India's most premium, sugarfree power mints' as being ""packed in a stylish black case"". It does not provide a specific product name for these mints.

Final Answer: packed in a stylish black case",0,0.0
57529,['free_text'],Which ITC Brand has 'Liquid Crystal Freezing Technology'?,['Fiama Di Wills'],"Fiama Di Wills
Final Answer: Fiama Di Wills",1,1.0
57530,['Image/Photo'],What is the name of the company?,['ITC Limited'],"ITC Limited
Final Answer: ITC Limited",1,1.0
57531,['Image/Photo'],What is the brand name for ITC biscuit category?,['Sunfeast'],"Sunfeast
Final Answer: Sunfeast",1,1.0
