dataset,average_score
boolean_expressions,1.0
causal_judgement,0.679
date_understanding,0.94
dyck_languages,0.836
formal_fallacies,1.0
geometric_shapes,0.8
logical_deduction_five_objects,0.984
logical_deduction_seven_objects,0.992
logical_deduction_three_objects,0.992
multistep_arithmetic_two,0.996
navigate,1.0
object_counting,0.996
penguins_in_a_table,1.0
reasoning_about_colored_objects,1.0
temporal_sequences,0.996
tracking_shuffled_objects_five_objects,1.0
tracking_shuffled_objects_seven_objects,1.0
tracking_shuffled_objects_three_objects,1.0
web_of_lies,1.0
word_sorting,1.0
