qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
1,en,complex_emotions,emotion_transition,"Dorea was trying to cook a Baklava. When she took it out of the oven, the Baklava was ruined as the bread was not crispy, and the filling was bursting all over the pan. At that moment, her daughter came home and noticed her mom's fresh yet ruined Baklava. She tasted it and gave a thumbs-up to her mother.",Dorea,A,A,B,B,"{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}",1
2,en,complex_emotions,emotion_transition,"Simon, an amateur painter, had been working on a portrait of his deceased pet for over a week. After he finally completed it, he stepped back and immediately noticed that he had painted the wrong color for his pet's fur. Just then, his wife saw it and exclaimed, ""That's exactly how I remember him!""",Simon,A,E,B,D,"{
""answer_q1"": ""E"",
""answer_q2"": ""D""
}",0
3,en,complex_emotions,emotion_transition,"After weeks of hard work and determination, Andy was finally able to open his art exhibition and display his portraits. While he invited all of the people at work, none of them showed up. As he was packing up to leave, his boss showed up, pointed to his painting, and praised his skills.",Andy,D,D,B,B,"{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""B""
}",1
4,en,complex_emotions,emotion_transition,"Albert and his dad made a deal. If Albert managed to graduate, being in the top 5 in the school, his dad would buy him a new laptop. If Albert lost, then he would not get anything. During the announcement, Albert fell short of the list and was ranked 6. The next day, they found out that one of the top 5 contestants had cheated and was disqualified.",Albert,D,D,C,C,"{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""C""
}",1
5,en,complex_emotions,emotion_transition,"Momo loved dancing and used it as an escape from her stressful life. Today, her client refused her work multiple times which resulted in her being reprimanded by her boss. Arriving at the dance studio, she put her bag down and screamed before starting to dance. After she finished dancing, Momo closed her eyes and nodded to herself in the mirror.",Momo,A,A,B,B,"{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""B""
}",1
6,en,complex_emotions,emotion_transition,"On his way to work, Andre was stuck in traffic when a person started shouting at him for being a bad driver. Once he came out of the car to confront that person, he realized it was his dad.",Andre,B,B,C,C,"{
""answer_q1"": ""B"",
""answer_q2"": ""C""
}",1
7,en,complex_emotions,emotion_transition,"I was annoyed with my friend for not inviting me to his birthday party. Then, I realized he also talks badly about me behind my back to others.",I,A,B,B,B,"{
""answer_q1"": ""B"",
""answer_q2"": ""B""
}",0
8,en,complex_emotions,emotion_transition,"Julius was excited to present his innovative idea to the team. During the meeting, his boss brutally criticized his lack of details and clarity. Julius analyzed his boss' comments and realized that this harsh feedback was what he needed to improve. He read over his notes and started refining his ideas.",Julius,A,A,C,C,"{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}",1
9,en,complex_emotions,emotion_transition,"Liam, a teenager often overlooked by his parents, found pride in keeping a flawless academic record. His parents told him they'd be skipping his awards ceremony for his younger brother's baseball game. With a crushing feeling in his heart, he climbed the stage alone. As he looked into the audience, he saw his parents sitting in the front row, smiling and clapping for him.",Liam,F,F,A,A,"{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""A""
}",1
10,en,complex_emotions,emotion_transition,"Joe's biggest hobby is taking pictures of birds. He had been trying to spot a rare type of bird, called the bluebird, for months. After numerous attempts, he finally spotted one sitting on a tree branch and was delighted. So, he sat down and prepared his camera to take the photo, but as he wanted to take the picture, the bird flew away. As Joe was staying there staring at the empty branch, the bird flew back.",Joe,A,A,C,C,"{
""answer_q1"": ""A"",
""answer_q2"": ""C""
}",1
11,en,complex_emotions,emotion_transition,"Ella was up the entire night working on her painting for the art exhibition. She was full of doubt, questioning whether it was good enough or not for the public. As she finished and stepped away, her little brother walked into the room. He stood there, stared at the painting for a while, then he turned to Ella with wide eyes and a big smile on his face.",Ella,A,A,B,B,"{
""answer_q1"": ""A"",
""answer_q2"": ""B""
}",1
12,en,complex_emotions,emotion_transition,"Mira had always been afraid of dogs. One day, while walking in her neighborhood, she saw an injured puppy on the sidewalk. She cautiously approached, quickly wrapped it in her scarf, and took it to the vet. A few weeks of visits later, Mira found herself getting attached to the creature.",Mira,B,B,C,C,"{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""C""
}",1
13,en,complex_emotions,emotion_transition,"Lena has been trying to study hard the entire week for her crucial medical exam, but has not found the chance because of her social life. So, with high anxiety, she decided to prepare hours away from the exam. In the middle of her study, she got a notification about the cancellation of the exam due to a virus outbreak in her college.",Lena,B,B,D,D,"```json
{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""D""
}
```",1
14,en,complex_emotions,emotion_transition,"After waiting for almost two hours for his date, Roger was considering leaving when he heard a familiar voice behind him. It was his date, Jessica, who frantically apologized for being late and explained she had been helping a family stuck on the highway.",Roger,B,E,C,C,"{
""answer_q1"": ""E"",
""answer_q2"": ""C""
}",0
15,en,complex_emotions,emotion_transition,"After waiting for almost two hours for his date, Roger was considering leaving when he heard a familiar voice behind him. It was his date, Jessica, who frantically apologized for being late and explained she had been helping a family stuck on the highway.",Jessica,A,A,C,C,"{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""C""
}",1
16,en,complex_emotions,mixture_of_emotions,"James and I are coworkers. We've been best friends for over a decade. Our boss gives out an employee of the year award every year. This year, we both applied as candidates for this reward and worked hard to get it. The results were announced yesterday. My friend won the award. When we found out, he smiled at first but didn't celebrate.",I,D,D,E,F,"{
""answer_q1"": ""D"",
""answer_q2"": ""F""
}",0
17,en,complex_emotions,mixture_of_emotions,"James and I are coworkers. We've been best friends for over a decade. Our boss gives out an employee of the year award every year. This year, we both applied as candidates for this reward and worked hard to get it. The results were announced yesterday. My friend won the award. When we found out, he smiled at first but didn't celebrate.",James,A,A,F,F,"{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""F""
}",1
18,en,complex_emotions,mixture_of_emotions,"I had a math exam yesterday. The night before, I had studied all the material I could get my hands on and did many practice tests. But when it came to the actual exam, I had forgotten many of the things that I had reviewed. After the exam was over, I felt so bad I thought I would fail even though I studied really hard. The results came out today. I passed with a low mark, so I will ask the teacher if I can get a higher grade.",I,B,B,A,A,"{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""A""
}",1
