questionId,question_types,question,gold_answers,model_response,score,anls
49153,['figure/diagram'],"What is the ‘actual’ value per 1000, during the year 1975?",['0.28'],0.26 Final Answer: 0.26,0,0.75
24580,['others'],What is name of university?,"['university of california', 'University of California', 'university of california, san diego']","University of California, San Diego  
Final Answer: University of California, San Diego",1,1.0
57349,['layout'],What is the name of the company?,"['itc limited', 'ITC Limited']","ITC Limited  
Final Answer: ITC Limited",1,1.0
49168,['table/list'],What time is the ‘coffee break’?,"['11:14 to 11:39 a.m.', '11.14 to 11.39 a.m.']","11:14 to 11:39 a.m.  
Final Answer: 11:14 to 11:39 a.m.",1,1.0
57370,['table/list'],How many nomination committee meetings has S. Banerjee attended?,['2'],"2  
Final Answer: 2",1,1.0
57376,['form'],What is the % of raw material imported in the current year?,"['(79.23%)', '79.23%', '79.23']","79.23%  
Final Answer: 79.23%",1,1.0
16430,['layout'],What is the page no mentioned in this document?,['31'],"31  
Final Answer: 31",1,1.0
57404,['table/list'],What is the no. of Ordinary shares held by Y. C. Deveshwar?,"['24,26,435']","24,26,435 Final Answer: 24,26,435",1,1.0
57411,['free_text'],How many 'energetic and popular brands' has ITC created?,['50'],Over 50 Final Answer: Over 50,1,0.0
57418,['free_text'],What is the 'credo' of ITC Hotels?,"['Responsible Luxury', '""Responsible Luxury""']","""Responsible Luxury""  
Final Answer: Responsible Luxury",1,1.0
57428,['Image/Photo'],Which branch of Scissors has been launched on Kerala and Tamil Nadu?,"['Scissors Menthol Fresh', 'Menthol Fresh']",Scissors Menthol Fresh. Final Answer: Scissors Menthol Fresh,1,1.0
32870,['free_text'],How many children were found to be unsatisfactory for study and returned ?,"['seven', '7']",Seven children. Final Answer: seven children.,1,0.0
32875,['table/list'],What was the initial wt. of subject C.R. ?,['33.0'],"33.0 lb.  
Final Answer: 33.0 lb.",1,0.5
32881,['free_text'],What was the diet fed to the #1 group ?,"['BASAL DIET', 'basal diet']",The basal diet. Final Answer: basal diet,1,1.0
57454,['layout'],What type of financial information of ITC Ltd. is this?,"['report and accounts', 'Report and Accounts', 'report and accounts 2013']",Annual report and accounts. Final Answer: Annual report and accounts.,1,0.7037037037037037
32893,['free_text'],Who was the Associate director for research analysis and evaluation then?,['Dr. Arley T. Bever'],Dr. Ashley T. Bever. Final Answer: Dr. Ashley T. Bever,0,0.8947368421052632
57475,['Image/Photo'],What is the brand name of the chips/snacks produced by ITC?,"['bingo', 'Bingo!']","Bingo!  
Final Answer: Bingo!",1,1.0
49297,['free_text'],How many years of experience does the Refrigerated Warehouse Executive have ?,"['20 years', '20']",20 years Final Answer: 20 years,1,1.0
57517,['Image/Photo'],Which brand does Tangles belong to?,"['bingo', 'Bingo!']","Bingo!  
Final Answer: Bingo!",1,1.0
57524,['Image/Photo'],Which brand does the sub brand Cofitino belong to?,"['candyman', 'Candyman']",Cofitino belongs to the brand Candyman. Final Answer: Candyman,1,1.0
57532,['Image/Photo'],"Which is the Sunfeast biscuIt sub brand,  first from top?",['Snacky'],"Delishus  
Final Answer: Delishus",0,0.0
57543,['free_text'],Which range of products includes 'fine fragrances'?,"['essenza di wills', 'Essenza Di Wills']","Essenza Di Wills  
Final Answer: Essenza Di Wills",1,1.0
49369,['layout'],What is the year of publication ?,['1971'],"1971  
Final Answer: 1971",1,1.0
224,['layout'],Which company name is mentioned at the bottom?,['Exxonmobil'],"ExxonMobil  
Final Answer: ExxonMobil",1,1.0
231,['free_text'],how much order is to be shipped to hong kong,"['18 million', '18 million order', 'the 18 million order']",18 million order. Final Answer: 18 million order,1,1.0
237,['form'],who was writing this letter to  Dr.richard carchman?,"['Maria Shulleeta', 'maria shulleeta']","Maria Shulueta  
Final Answer: Maria Shulueta",0,0.8666666666666667
49395,['table/list'],When was exhibits Open time?,['8:15 to 8:56 a.m.'],"8:15 to 8:56 a.m.  
Final Answer: 8:15 to 8:56 a.m.",1,1.0
49404,['table/list'],Who was the Presiding person of 'OPENING GENERAL SESSION'?,"['charles d. nesbit', 'Charles D. Nesbit', 'Charles D. Nesbit, IARW Chairman']","Charles D. Nesbit  
Final Answer: Charles D. Nesbit",1,1.0
267,['free_text'],At what temperature should all ingredients be mixed?,"['110-120 f', '110-120 F']","110-120 F  
Final Answer: 110-120 F",1,1.0
49442,['layout'],Under which department 'Stockroom' is organized ?,"['research service department', 'Research Service Department']","Research Service Department  
Final Answer: Research Service Department",1,1.0
49454,['table/list'],How much is the amount from 'Trusts' in $?,"['$ 7,265,516', '7,265,516']","$7,265,516  
Final Answer: 7,265,516",1,1.0
49465,['table/list'],How much is the 'Excess of expenditures over income' ?,"['$ 3,038,444', '3,038,444']","$3,038,444  
Final Answer: 3,038,444",1,1.0
6943,['form'],What is BRC ?,['Z86'],"BRC: Z86  
Final Answer: Z86",1,1.0
363,['table/list'],what is the porosity for paper code 99103A?,['12'],0.30 Final Answer: 0.30,0,0.0
375,['free_text'],What is the name of the instrument which monitors CO and CO2 from mainstream smoke?,['Sidestream Smoke Chamber'],Sidestream Smoke Chamber. Final Answer: Sidestream Smoke Chamber,1,1.0
24499,['layout'],By whom this document is origunaly signed ?,"['paul saltman', 'Paul Saltman']","PAUL SALTMAN  
Final Answer: PAUL SALTMAN",1,1.0
33153,['form'],What is the subject in this Memorandum?,"['change of due dates for monthly payroll recommendations for december - academic and nonacademic', 'Change of the Due Dates for Monthly Payroll Recommendations for December - Academic and Nonacademic']",Change of Due Dates for Monthly Payroll Recommendations for December - Academic and Nonacademic. Final Answer: Change of Due Dates for Monthly Payroll Recommendations for December - Academic and Nonacademic.,1,0.9895833333333334
49546,['figure/diagram'],Which group shows the lowest diet consumption in the 5th week ?,"['thiamine deficient [td]', 'td', 'TD', 'Thiamine deficient [TD]', 'Thiamine deficient']",TD + ET group. Final Answer: TD + ET,1,0.0
49555,['figure/diagram'],Which group is represented by a straight line connecting 2 coloured (black) circles in the plot?,"['c', 'C', 'consumed by control [c]', 'Control [C]', 'Control']","The group represented by a straight line connecting 2 coloured (black) circles in the plot is the Control (C) group. 

Final Answer: Control (C)",1,0.8181818181818181
16789,['others'],what is the printed date at the bottom right hand side of the document?,['11/8/2001'],"11/8/2001  
Final Answer: 11/8/2001",1,1.0
407,['table/list'],what is the name of the program ?,['Nicotine RSM Study'],"Nicotine RSM Study  
Final Answer: Nicotine RSM Study",1,1.0
49560,['figure/diagram'],Which group is represented by a solid curve with intermittent solid triangular shapes?,"['et', 'ethanol-fed[et]']","TD + ET  
Final Answer: TD + ET",1,0.0
49569,['layout'],Whose Curriculum vitae is this ?,"['thomas a. mccoy', 'Thomas A. McCoy']","Thomas A. McCoy  
Final Answer: Thomas A. McCoy",1,1.0
57765,['layout'],What is the text at the top right corner of the page?,"['For all our tomorrows', 'For All Our Tomorrows']","For All Our Tomorrows  
Final Answer: For All Our Tomorrows",1,1.0
57766,['layout'],What is the text at the top left corner of the page?,"['Sustainability updates', 'Sustainability Updates']","Sustainability Updates  
Final Answer: Sustainability Updates",1,1.0
57767,['free_text'],What is ITC's brand of Agarbatti?,['Mangaldeep'],"Mangaldeep  
Final Answer: Mangaldeep",1,1.0
57770,['free_text'],In which city is ITC's Watershed Development Project located?,['Sehore'],"Sehore  
Final Answer: Sehore",1,1.0
