qid,lang,coarse_category,finegrained_category,scenario,subject,emo_label,emo_answer,cause_label,cause_answer,model_response,score
51,en,personal_beliefs_and_experiences,cultural_value,"To celebrate moving into his new house, Zhongli hosted a housewarming party and invited one of his best friends, Ollie. Around 6 p.m., Ollie arrived at Zhongli's house and entered without taking off his shoes. Seeing this, Zhongli told him to take off his shoes and offered a pair of slippers to use inside the house.",Ollie,A,A,B,B,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""B""
}
```",1
52,en,personal_beliefs_and_experiences,cultural_value,"Samira and Amy decided to get dinner together at an Indian restaurant. Amy is American and has never had Indian Food. They came to this restaurant because Samira wanted Amy to try her culture and food. Once the food arrived, Samira started eating with her hands and mentioned how it reminded her of her mom's cooking.",Amy,E,E,B,B,"{
    ""answer_q1"": ""E"",
    ""answer_q2"": ""B""
}",1
53,en,personal_beliefs_and_experiences,cultural_value,"Samira and Amy decided to get dinner together at an Indian restaurant. Amy is American and has never had Indian Food. They came to this restaurant because Samira wanted Amy to try her culture and food. Once the food arrived, Samira started eating with her hands and mentioned how it reminded her of her mom's cooking.",Samira,A,A,D,D,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""D""
}
```",1
54,en,personal_beliefs_and_experiences,cultural_value,"On her trip to Japan, Jessica visited a sushi place with many good reviews. She ordered many items on the menu for herself and enjoyed her dinner to the fullest. Then, she asked for the receipt and put in a generous twenty-dollar tip. After noticing the tip, the waitress took it and returned it to Jessica.",Jessica,B,B,F,F,"{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""F""
}",1
55,en,personal_beliefs_and_experiences,cultural_value,"On her trip to Japan, Jessica visited a sushi place with many good reviews. She ordered many items on the menu for herself and enjoyed her dinner to the fullest. Then, she asked for the receipt and put in a generous twenty-dollar tip. After noticing the tip, the waitress took it and returned it to Jessica.",the waitress,E,D,C,C,"{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""C""
}",0
56,en,personal_beliefs_and_experiences,cultural_value,"Weili recently came over to Germany from China for a student exchange program. Earlier today, Samantha, her German classmate, invited her to a movie that started at half past seven. In Europe, unlike China, movies usually start twenty to thirty minutes late. Weili showed up at the cinema at around eight but Samantha didn't mention anything about it.",Weili,C,A,A,B,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""B""
}
```",0
57,en,personal_beliefs_and_experiences,cultural_value,"Weili recently came over to Germany from China for a student exchange program. Earlier today, Samantha, her German classmate, invited her to a movie that started at half past seven. In Europe, unlike China, movies usually start twenty to thirty minutes late. Weili showed up at the cinema at around eight but Samantha didn't mention anything about it.",Samantha,A,A,C,C,"```json
{
    ""answer_q1"": ""A"",
    ""answer_q2"": ""C""
}
```",1
58,en,personal_beliefs_and_experiences,cultural_value,"Xiaofeng, who is from China, and his friends usually don't go Dutch when eating out and instead have one of them pay the bill. One day, he brought Henry, his American friend, to a dinner party. After the meal, Henry naturally took out his credit card and prepared to split the bill. Xiaofeng smiled and refused.",Xiaofeng,B,B,B,B,"{
    ""answer_q1"": ""B"",
    ""answer_q2"": ""B""
}",1
59,en,personal_beliefs_and_experiences,cultural_value,"Xiaofeng, who is from China, and his friends usually don't go Dutch when eating out and instead have one of them pay the bill. One day, he brought Henry, his American friend, to a dinner party. After the meal, Henry naturally took out his credit card and prepared to split the bill. Xiaofeng smiled and refused.",Henry,F,F,D,A,"```json
{
    ""answer_q1"": ""F"",
    ""answer_q2"": ""A""
}
```",0
60,en,personal_beliefs_and_experiences,cultural_value,"Bill was learning how to use chopsticks from his Chinese friend, Xiao. After several attempts, Bill finally successfully picked up a handful of rice with his chopstick and after eating the rice, he put the chopsticks upright inside the rice bowl. Xiao immediately took the chopsticks out and put them on the chopsticks rest.",Bill,F,D,B,C,"{
    ""answer_q1"": ""D"",
    ""answer_q2"": ""C""
}",0
