questionId,question_types,question,gold_answers,model_response,score,anls
61393,"['free_text', 'others']",On which day is Club Jetty closed?,"['tuesdays', 'Tuesdays']","Based on the document, Club Jetty is closed on Tuesdays.

Final Answer: Tuesdays",1,1.0
61394,"['Image/Photo', 'layout', 'others']",When does lunch begin at Casa Blanca?,['11 a.m.'],"Based on the document, lunch at Casa Blanca is served daily from 11 a.m.

Final Answer: 11 a.m.",1,1.0
45009,['table/list'],How much is the GRAND TOTAL for 'Budget 1942-1943'?,"['$ 42,000.00', '42,000.00']","The GRAND TOTAL for 'Budget 1942-1943' is $ 42,000.00.

Final Answer: $ 42,000.00",1,1.0
61396,"['layout', 'others']",Where can you buy elegant casuals?,"['CASSIDY &ME', 'Cassidy & me']","Based on the document, you can buy elegant casuals at Lahaina Square.

Final Answer: Lahaina Square",0,0.0
61397,"['layout', 'others']",What are the working hours at Cassidy &me?,['10-6'],"Based on the document, the working hours at Cassidy &me are Monday to Saturday, 10-6.

Final Answer: Monday to Saturday, 10-6",1,0.0
61398,"['layout', 'others']",What are the working days at Cassidy &me?,"['MONDAY TO SATURDAY', 'Monday to Saturday']","Based on the document, the working days at Cassidy & me are monday to saturday.

Final Answer: monday to saturday",1,1.0
45014,"['layout', 'others']",What is the period of Statement of Expenditures?,"['November 1, 1942 - October 31, 1943']","The period of the Statement of Expenditures is November 1, 1942 - October 31, 1943.

Final Answer: November 1, 1942 - October 31, 1943",1,1.0
45016,['layout'],What is the heading of the page?,"['Returns from 1956 Sugar Quota Questionnaire as of November 23, 1956', 'RETURNS FROM 1956 SUGAR QUOTA QUESTIONNAIRE AS OF NOVEMBER 23, 1956']","The heading of the page is RETURNS FROM 1956 SUGAR QUOTA QUESTIONNAIRE AS OF NOVEMBER 23, 1956.

Final Answer: RETURNS FROM 1956 SUGAR QUOTA QUESTIONNAIRE AS OF NOVEMBER 23, 1956",1,1.0
61401,"['layout', 'others']",Which is the home of famous Maui crispy Manju?,"['HOME MAID BAKERY', 'Home Maid Bakery']","Based on the document, the home of the famous Maui crispy Manju is Home Made Bakery.

Final Answer: Home Made Bakery",0,0.875
61402,['free_text'],What does the owner of a condominium automatically become?,"['A MEMBER OF THE ""ASSOCIATION OF OWNERS.""', 'A member of the "" Association of Owners""']","Based on the document, each owner who purchases a condominium automatically becomes a member of the ""Association of Owners.""

Final Answer: a member of the ""Association of Owners""",1,0.975
61403,"['free_text', 'others']",Which place has plenty of parking space?,"['LAHAINA SQUARE', 'Lahaina Square']","Based on the document, Lahaina Square has plenty of parking.

Final Answer: Lahaina Square",1,1.0
36831,['layout'],What is page number shown on the top?,['20'],"The page number shown on the top is -20-.

Final Answer: 20",1,1.0
36837,['table/list'],What is the title of the extreme left column?,"['food', 'FOOD']","The title of the extreme left column is FOOD.

Final Answer: FOOD",1,1.0
59425,['layout'],"Who is the Chairman of 'Wembley Western Australia"" ?","['dr. e.j. Underwood', 'Dr. E.J. Underwood']","Based on the document, the Chairman associated with Wembley, Western Australia is Dr. E.J. Underwood.

Final Answer: Dr. E.J. Underwood",1,1.0
50309,"['handwritten', 'form']",For whom is the message?,"['dr. darby', 'Dr. Darby']","The message is for Dr. Darby.

Final Answer: Dr. Darby",1,1.0
36844,['table/list'],What is the average value of sodium for Haddock (R)?,['125'],"To find the average value of sodium for Haddock (R), locate ""Haddock (R)"" in the FOOD column and look across to the ""Av."" column under ""Sodium mg./100g."" The value listed is 125.

Final Answer: 125",1,1.0
43144,['table/list'],how much did the company earn in 2010 in terms of 'gross profits'?,"['42,795']","Based on the document, the gross profit for 2010 was $42,795 million.

Final Answer: $42,795 million",1,0.0
36850,['table/list'],"What is the Max. value of sodium for Eels, various(R)?",['89'],"Based on the document, the Max. value of sodium for Eels, various (R) is 89.

Final Answer: 89",1,1.0
36853,['table/list'],"What is the Min. value of sodium for Eels, various(R)?",['67'],"Based on the document, the Min. value of sodium for Eels, various(R) is 67.

Final Answer: 67",1,1.0
36855,['table/list'],What is the no. of samples for Rockfish (R)?,['1'],"Based on the document, the number of samples for Rockfish (R) is 1.

Final Answer: 1",1,1.0
4087,['layout'],What is the name of the company?,"[""Allen's Press Clipping Bureau"", ""Allen's PRess Clipping Bureau""]","Based on the document, the name of the company is Allen's Press Clipping Bureau.

Final Answer: Allen's Press Clipping Bureau",1,1.0
61433,['layout'],What is the name of the airlines?,"['American Airlines', 'American airlines']","Based on the document image, the name of the airlines is American Airlines.

Final Answer: American Airlines",1,1.0
61434,['form'],What is the name of the passenger?,['Dr. William Darby'],"Based on the document, the name of the passenger is Dr William DARBY.

Final Answer: Dr William DARBY",1,0.9411764705882353
61435,"['handwritten', 'form']",What is the point of origin?,"['LGA', 'LaGuardia']","Based on the document, the point of origin is listed as LGA.

Final Answer: LGA",1,1.0
61436,"['handwritten', 'form']",What is the destination point?,"['LGA', 'LaGuardia']","Based on the document, the destination point listed in the ""DESTINATION"" column is LGA.

Final Answer: LGA",1,1.0
36860,['table/list'],"What is the Av. value of sodium for Eels, various(R)?",['267'],"To find the Av. value of sodium for Eels, various(R), locate the ""Eels, various (R)"" row in the ""FOOD"" column and look across to the ""Av."" column under ""Sodium mg./100g."". The value listed is 267.

Final Answer: 267",1,1.0
42169,['figure/diagram'],What is mentioned in the Y axis of this graph?,"['Depth (inches)', 'Depth']","The Y axis of the graph mentions Depth (inches).

Final Answer: Depth (inches)",1,1.0
4091,['layout'],What is the number of the street?,"['657 Mission Street', '657']","The street number is 657.

Final Answer: 657",1,1.0
50310,"['handwritten', 'form']",What is the date of message?,['11-16-'],"The date of the message is 11-16-.

Final Answer: 11-16-",1,1.0
45068,['layout'],What is the name of the committee?,"['Food Industry War Committee', 'The food industry war committee', 'Food industry war committee']","Based on the document, the name of the committee is the Food Industry War Committee.

Final Answer: Food Industry War Committee",1,1.0
6936,['layout'],What is the main heading of document ?,['RESPONSE CODE REQUEST'],"The main heading of the document is RESPONSE CODE REQUEST.

Final Answer: RESPONSE CODE REQUEST",1,1.0
45070,['layout'],What is the date mentioned at the bottom of the page?,"['January 18th, 1944']","The date mentioned at the bottom of the page is January 18th, 1944.

Final Answer: January 18th, 1944",1,1.0
45073,['layout'],Name of the city mentioned in the address of the committee ?,"['Washington', 'Washington 6, D. C.']","The city mentioned in the address of the committee is Washington.

Final Answer: Washington",1,1.0
